"name","latitude","longitude","address","category","priority","planning_status","google_maps_url","notes"
"Rifugio Duca d'Aosta",,,,"rifugio|food|via-ferrata|mountain|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Rifugio%20Duca%20d%27Aosta%20Cortina","Start/finish and support point for Ra Bujela. The official 1h45 route time is hut-to-hut; reserve 3h for a calm beginner-paced outing including approach, instruction/checks, waiting and descent back to the hut. Confirm meal service shortly before the day and carry a packed fallback."
"Seceda cable car – Ortisei",,,,"lift|mountain|west-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Seceda%20cable%20car%20Ortisei","Published 2026 operation: 22 May–2 Nov. On 18 Sep the Ortisei–Furnes and Furnes–Seceda lifts run 08:30–17:30. The optional Fermeda chairlift runs only through 20 Sep, 09:30–16:30. Official mountain weather: https://weather.province.bz.it/en/forecasts"
"Snow Service Cortina",,,"Via Guglielmo Marconi 12/C, 32043 Cortina d'Ampezzo BL, Italy","equipment-rental|via-ferrata|logistics|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Snow%20Service%20Cortina%20Via%20Marconi%2012%2FC","1–17 Sep opening hours: 08:30–12:30 and 14:30–19:00. Call ahead to reserve two complete EN 958 via-ferrata sets for fitting at opening on 12 Sep; confirm the cancellation/payment policy and whether the sets may be retained for the 13 Sep weather backup."
"Target Rent — Venice Airport",,,"Via Orlanda 216, 30173 Tessera VE, Italy","transport|car","A","calendar_anchor","https://maps.app.goo.gl/UiD6XeqskFK6cjYS7","Off-airport Target Rent office, open daily 08:00–19:00 with 24-hour shuttle service. From VCE use the free Park Gold shuttle from the P5 shuttle area. Keep the booked 11 Sep pickup at 12:00. For return, arrive around 08:45 for the booked 09:00 slot, then use the shuttle back to the terminal."
"Tre Cime di Lavaredo loop",,,,"hike|mountain|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Tre%20Cime%20di%20Lavaredo","Plan 10 km / 4–5 h. Arrive 07:30–08:00. Carry sandwiches; do not rely on rifugi."
"Vallunga","46.5646978","11.7775044",,"walk|e-bike|cycle-route|nature|west-dolomites","A","calendar_anchor","https://www.google.com/maps/place/Vallunga/@46.5646978,11.7775044,17z","Plan A easy walk on 22 Sep and scenic turnaround for the 23 Sep e-bike ride. The official out-and-back on path 14 is easy, 7.5 km, about 2 hours and 201 m ascent; turn around earlier at San Silvestro chapel if a shorter recovery walk is preferred."
"Venezia Mestre railway station",,,,"transport|venice","A","calendar_anchor","https://www.google.com/maps/search/Venezia%20Mestre%20railway%20station",
"Venice Marco Polo Airport (VCE)",,,"Viale Galileo Galilei 30, 30173 Venezia VE, Italy","transport|flight","A","calendar_anchor","https://www.google.com/maps/search/Venice%20Marco%20Polo%20Airport","Arrival 9 Sep; Target Rent shuttle meeting point on 11 Sep; airport arrival after car return and departure on 25 Sep."
"a&o Venezia Mestre","45.4814965","12.2389804","Via Ca Marcello, 15, 30172 Venezia VE, Italy","lodging|logistics|venice","A","calendar_anchor","https://maps.google.com/?cid=2559267828695871316","לינה מאושרת לשני לילות; לעדכן מראש על הגעה מאוחרת."
"Belvedere di Canazei / Col dei Rossi",,,,"lift|viewpoint|val-di-fassa|conditional","B","conditional","https://www.google.com/maps/search/?api=1&query=Belvedere%20di%20Canazei","Conditional replacement on the 17 Sep transfer, not a 15-minute roadside stop. The 2026 Canazei–Pecol and Pecol–Col dei Rossi lifts are published for 08:30–17:30/17:20 on this date; allow 2–3 hours and use only by replacing another stop."
"Bolzano","46.4949259","11.3402543","39100 Bolzano, South Tyrol, Italy","city|food|transfer","B","calendar_anchor","https://www.google.com/maps/place/Bolzano/@46.4949259,11.3402543,13z","End point of the classic Cortina–Bolzano road segment and practical transfer-day lunch stop before continuing to Ortisei."
"Cadini di Misurina viewpoint / Punto Panoramico Dolomiti",,,,"viewpoint|hike|east-dolomites|exposed","B","conditional","https://www.google.com/maps/search/?api=1&query=Cadini%20di%20Misurina%20viewpoint","Conditional only: no wind or rain, good visibility and both travelers comfortable with exposure. Use as a short alternative from Rifugio Auronzo, not after completing the full Tre Cime loop."
"Ca’ Macana Original","45.433924","12.3255665","Sestiere Dorsoduro 3215, 30123 Venezia VE, Italy","shopping|venice|mask-shop|handicraft","B","map_only","https://www.google.com/maps/place/Ca'+Macana+Original/@45.433924,12.3255665,17z/data=!3m1!4b1!4m6!3m5!1s0x477eb1cee60d89f1:0x1de820c5de535d05!8m2!3d45.433924!4d12.3255665!16s%2Fg%2F1tf306y7","Strong backup in Dorsoduro. Google Maps 4.7/5 from 913 reviews. Handmade in Venice with a broad selection and options for tighter budgets. Saved to Google Maps list דולומיטים 2026 — Plan A with a B-priority note."
"Fermeda-Hütte","46.5910859","11.7368404",,"rifugio|food|seceda","B","map_only","https://www.google.com/maps/place/Fermeda-H%C3%BCtte/@46.5910859,11.7368404,17z","Article-derived optional hut for the existing Seceda day; verify opening and do not reroute the day solely for it."
"Fly 2 Dolomites — Tandem Flights","46.5763334","11.6751388","S.da Val d'Anna 4, 39046 Ortisei, Italy","paragliding|experience|west-dolomites","B","map_only","https://www.google.com/maps/place/Fly+2+Dolomites+-+Tandem+Flights/data=!4m7!3m6!1s0x47781533bba96d37:0x4a139552292c35cb!8m2!3d46.5763334!4d11.6751388!16s%2Fg%2F11f6543794","Best logistical backup for the Seceda flight: €190 per person and the official FAQ explicitly allows a mountain meeting by arrangement. Google Maps 5.0/5 from 518 reviews. Use if Gardenafly cannot provide two pilots or a top rendezvous."
"Funivia Lagazuoi",,,,"lift|mountain|east-dolomites","B","calendar_anchor","https://www.google.com/maps/search/Funivia%20Lagazuoi","Published 2026 operation: 6 Jun–18 Oct; first lift 09:00, last uphill 16:40, last descent 17:00. Official regional forecast: https://meteo.arpa.veneto.it/meteo/bollettini/it/pdf/meteo_dolomiti.pdf"
"Kartaruga Atelier","45.43643","12.339494","Sestiere di Castello 5369/5370, 30122 Venezia VE, Italy","shopping|venice|mask-shop|handicraft","B","map_only","https://www.google.com/maps/place/Kartaruga/@45.43643,12.339494,17z/data=!4m6!3m5!1s0x477eb1d76e3a8a71:0x68e1105947b0ee60!8m2!3d45.43643!4d12.339494!16s%2Fg%2F1tcw2fwt","Distinctive backup near San Marco/Castello. Google Maps 4.7/5 from 124 reviews; praised for handmade masks and unusual animal designs. Saved to Google Maps list דולומיטים 2026 — Plan A with a B-priority note. The official website was under maintenance when checked."
"Lago Pianozes",,,,"lake|scenic-stop|east-dolomites|recovery","B","calendar_anchor","https://www.google.com/maps/search/Lago%20Pianozes%20Cortina","Short, no-ascent lakeside viewpoint after Ra Bujela; do not turn it into the longer walking loop. Official regional forecast: https://meteo.arpa.veneto.it/meteo/bollettini/it/pdf/meteo_dolomiti.pdf"
"Lago di Misurina",,,,"lake|east-dolomites|fallback","B","candidate","https://www.google.com/maps/search/Lago%20di%20Misurina","Easy lake stop. Use the official ARPAV Dolomites bulletin: https://meteo.arpa.veneto.it/meteo/bollettini/it/pdf/meteo_dolomiti.pdf"
"Maneggio Ortisei",,,"Strada Passua 5, 39040 Ortisei, Italy","horse-riding|experience|west-dolomites","B","map_only","https://www.google.com/maps/search/?api=1&query=Maneggio%20Ortisei%20Strada%20Passua%205","Closest horse-riding backup to the Ortisei base. Official tourism listing shows nature excursions and daily 08:00–19:00 opening, but no direct one-hour price. A Val Gardena Active 45-minute saddle activity is €60 standard and does not run on the planned Saturday."
"Messner Mountain Museum Corones","46.7374234","11.9546676",,"museum|weather-fallback|east-dolomites","B","candidate","https://www.google.com/maps/place/Messner+Mountain+Museum+Corones/@46.7374234,11.9546676,17z","Article-derived Plan B museum for a partial-weather day; access and lifts must be verified before use."
"Murano Faro",,,,"city|venice|island","B","calendar_anchor","https://www.google.com/maps/search/Murano%20Faro%20Venice",
"Parcheggio Malga Zannes (P1)",,,,"parking|hike|west-dolomites","B","calendar_anchor","https://www.google.com/maps/search/Parcheggio%20Zannes%20Val%20di%20Funes","Verify and reserve parking online when the 2026 date is released."
"Passo delle Erbe / Würzjoch",,,,"mountain-pass|viewpoint|short-walk|west-dolomites","B","conditional","https://www.google.com/maps/search/?api=1&query=Passo%20delle%20Erbe","Conditional light extension after Val di Funes on 20 Sep, replacing the Zannes afternoon loop. Google Maps currently estimates about 42 minutes from Santa Maddalena and 1h12 onward to Ortisei. The after-14:00 free-parking claim is supported by recent travel sources but not stated on the official tourism page, so verify the signs on arrival. The official page warns that SP29 is narrow and partly single-lane."
"Pasticceria Panificio Alverà","46.5397484","12.1346734",,"food|bakery|cortina","B","map_only","https://www.google.com/maps/place/Pasticceria+Panificio+Alver%C3%A0/@46.5397484,12.1346734,17z","Article-derived Cortina bakery option, saved as a map-only food stop rather than a fixed itinerary commitment."
"Prato Piazza / Plätzwiese",,,,"plateau|walk|east-dolomites|fallback","B","candidate","https://www.google.com/maps/search/?api=1&query=Prato%20Piazza%20Pl%C3%A4tzwiese","Calm half-day alternative to a missed east anchor. Official 2026 access is toll-controlled from 6 Jun to 8 Nov with seasonal traffic restrictions and limited parking; verify the live access window before leaving."
"Rifugio Averau",,,,"food|mountain|east-dolomites","B","calendar_anchor","https://www.google.com/maps/search/Rifugio%20Averau",
"Scuola d'equitazione Pozzamanigoni","46.553354","11.741853","Streda La Selva 51, 39048 Selva di Val Gardena, Italy","horse-riding|experience|west-dolomites","B","map_only","https://www.google.com/maps/search/?api=1&query=Scuola%20d%27equitazione%20Pozzamanigoni%20Selva%20Val%20Gardena","Scenic Selva backup with Google Maps 4.8/5 from 19 reviews. A current third-party booking listing shows about €80 per person for 1.5 hours, making it materially more expensive than Unterlanzin for the requested one-hour ride."
"Tandem-Paragliding.com","46.5651495","11.5608254","Via Kleinmichl 1, 39040 Kastelruth, Italy","paragliding|experience|alpe-di-siusi","B","map_only","https://www.google.com/maps/place/Tandem-Paragliding.com/data=!4m7!3m6!1s0x47780d5ea8476fef:0x8b5a471b53e1ae7b!8m2!3d46.5651495!4d11.5608254!16s%2Fg%2F11w_fnmc5x","Alpe di Siusi / Seceda backup provider. Published classic Alpe di Siusi flight €150 and Seceda panoramic flight €190. Map save only because Gardenafly and Fly2 integrate more directly with the chosen Seceda schedule."
"Val Fiscalina / Fischleintal",,,,"valley|walk|east-dolomites|fallback","B","candidate","https://www.google.com/maps/search/?api=1&query=Val%20Fiscalina","Plan B easy valley walk, not an addition to a full Tre Cime or Braies day. From the Fiscalina parking the official easy approach to Rifugio Fondo Valle is about 30 minutes each way; current parking is paid and cannot be reserved."
"Baita Segantini",,,,"hut|viewpoint|hike|south-dolomites","C","conditional","https://www.google.com/maps/search/?api=1&query=Baita%20Segantini","Conditional Passo Rolle hike: the official route reaches the hut in about 40–60 minutes on a comfortable track. Pair with Val Venegia only on a dedicated southern day."
"Conegliano historic centre",,,,"city|transfer|fallback","C","candidate","https://www.google.com/maps/search/Conegliano%20historic%20centre",
"Lago Welsperg",,,,"lake|scenic-stop|south-dolomites|tiktok","C","map_only","https://www.google.com/maps/search/?api=1&query=Lago%20Welsperg%20Primiero","Map-only photo stop from the second TikTok. Use only if the dedicated Passo Rolle/Val Venegia day is selected; do not add a separate drive for it."
"Lago di Centro Cadore (Pieve di Cadore)",,,"Pieve di Cadore, Belluno, Italy","lake|nature|transition-stop|east-dolomites","C","map_only","https://www.google.com/maps/search/?api=1&query=Lago%20di%20Centro%20Cadore%20Pieve%20di%20Cadore","הוסר ממסלול החזרה כדי להשאיר את הלילה האחרון ב-Ortisei ולהחזיר את הרכב ביום הטיסה. נשמר כרעיון במפה בלבד."
"Passo Rolle",,,,"mountain-pass|viewpoint|hike-start|south-dolomites","C","conditional","https://www.google.com/maps/search/?api=1&query=Passo%20Rolle","Excellent but geographically remote full-day alternative with Baita Segantini and Val Venegia. Google Maps currently estimates about 1h56 each way from Ortisei, so it is not a short stop in the existing route."
"Ristorante Tivoli Cortina","46.5335809","12.1216331",,"food|fine-dining|cortina","C","map_only","https://www.google.com/maps/place/Ristorante+Tivoli+Cortina/@46.5335809,12.1216331,17z","Article-derived fine-dining option saved to the map only; it does not replace any itinerary meal."
"SanBrite",,,,"food|fine-dining|cortina","C","map_only","https://www.google.com/maps/search/?api=1&query=SanBrite%20Cortina%20d%27Ampezzo","Article-derived fine-dining idea saved to the map only; not selected because it is not a relatively inexpensive default."
"Val Venegia",,,,"valley|hike|south-dolomites|tiktok","C","conditional","https://www.google.com/maps/search/?api=1&query=Val%20Venegia","One of the best walks from the TikTok set, but only as a dedicated southern day. Prefer the easy out-and-back from Pian dei Casoni toward Malga Venegiota; do not attempt the official seven-hour full circuit within the current itinerary."
"Venetian mask shop shortlist — resolved",,,,"shopping|venice|mask-shop","C","rejected_default","https://www.google.com/maps/search/affordable%20Venetian%20mask%20shop%20Venice","Superseded by the resolved shortlist: La Bauta is the scheduled Plan A shop; Ca’ Macana Original and Kartaruga are map-only backups."
